Statistic Label,Year,Type of Building and Construction,UNIT,VALUE
Value of Production Index in Building and Construction (Seasonally Adjusted),2004,All building and construction,Base 2015=100,252.8467981
Value of Production Index in Building and Construction (Seasonally Adjusted),2004,Building (excluding civil engineering),Base 2015=100,319.4076988
Value of Production Index in Building and Construction (Seasonally Adjusted),2004,Residential building,Base 2015=100,605.5049518
Value of Production Index in Building and Construction (Seasonally Adjusted),2004,Non-residential building,Base 2015=100,115.3594812
Value of Production Index in Building and Construction (Seasonally Adjusted),2004,Civil engineering,Base 2015=100,106.9760385
Value of Production Index in Building and Construction (Seasonally Adjusted),2005,All building and construction,Base 2015=100,290.3272078
Value of Production Index in Building and Construction (Seasonally Adjusted),2005,Building (excluding civil engineering),Base 2015=100,365.3271639
Value of Production Index in Building and Construction (Seasonally Adjusted),2005,Residential building,Base 2015=100,696.5485942
Value of Production Index in Building and Construction (Seasonally Adjusted),2005,Non-residential building,Base 2015=100,129.4047074
Value of Production Index in Building and Construction (Seasonally Adjusted),2005,Civil engineering,Base 2015=100,125.2440618
Value of Production Index in Building and Construction (Seasonally Adjusted),2006,All building and construction,Base 2015=100,318.9665836
Value of Production Index in Building and Construction (Seasonally Adjusted),2006,Building (excluding civil engineering),Base 2015=100,395.9114407
Value of Production Index in Building and Construction (Seasonally Adjusted),2006,Residential building,Base 2015=100,748.0767424
Value of Production Index in Building and Construction (Seasonally Adjusted),2006,Non-residential building,Base 2015=100,144.8135207
Value of Production Index in Building and Construction (Seasonally Adjusted),2006,Civil engineering,Base 2015=100,149.2897004
Value of Production Index in Building and Construction (Seasonally Adjusted),2007,All building and construction,Base 2015=100,289.5344547
Value of Production Index in Building and Construction (Seasonally Adjusted),2007,Building (excluding civil engineering),Base 2015=100,346.9005234
Value of Production Index in Building and Construction (Seasonally Adjusted),2007,Residential building,Base 2015=100,619.179242
Value of Production Index in Building and Construction (Seasonally Adjusted),2007,Non-residential building,Base 2015=100,153.5761568
Value of Production Index in Building and Construction (Seasonally Adjusted),2007,Civil engineering,Base 2015=100,163.704964
Value of Production Index in Building and Construction (Seasonally Adjusted),2008,All building and construction,Base 2015=100,212.8235966
